{'loss_all': 2.326995611190796, 'loss_G': 1.9029262065887451, 'loss_G_GAN': 0.18740147352218628, 'loss_G_cycle': 1.7155247926712036, 'loss_D': 0.4240694046020508}
{'loss_all': 2.8537402153015137, 'loss_G': 2.39308500289917, 'loss_G_GAN': 0.629248857498169, 'loss_G_cycle': 1.7638362646102905, 'loss_D': 0.460655152797699}
{'loss_all': 3.091123342514038, 'loss_G': 2.6573903560638428, 'loss_G_GAN': 0.9738015532493591, 'loss_G_cycle': 1.6835887432098389, 'loss_D': 0.4337329864501953}
{'loss_all': 2.2264819145202637, 'loss_G': 1.9195295572280884, 'loss_G_GAN': 0.5854912996292114, 'loss_G_cycle': 1.334038257598877, 'loss_D': 0.3069522976875305}
{'loss_all': 2.1274654865264893, 'loss_G': 1.7148208618164062, 'loss_G_GAN': 0.10869694501161575, 'loss_G_cycle': 1.606123924255371, 'loss_D': 0.4126446843147278}
{'loss_all': 2.541945695877075, 'loss_G': 2.163912296295166, 'loss_G_GAN': 0.5072245597839355, 'loss_G_cycle': 1.6566877365112305, 'loss_D': 0.37803342938423157}
{'loss_all': 2.5072689056396484, 'loss_G': 2.0152015686035156, 'loss_G_GAN': 0.5530408024787903, 'loss_G_cycle': 1.4621609449386597, 'loss_D': 0.49206751585006714}
{'loss_all': 3.0605249404907227, 'loss_G': 2.502297878265381, 'loss_G_GAN': 1.0330098867416382, 'loss_G_cycle': 1.4692881107330322, 'loss_D': 0.5582270622253418}
{'loss_all': 2.6108787059783936, 'loss_G': 2.3206124305725098, 'loss_G_GAN': 0.5954345464706421, 'loss_G_cycle': 1.7251780033111572, 'loss_D': 0.29026609659194946}
{'loss_all': 2.173731803894043, 'loss_G': 1.8263309001922607, 'loss_G_GAN': 0.6417678594589233, 'loss_G_cycle': 1.1845630407333374, 'loss_D': 0.3474007844924927}
{'loss_all': 2.04636287689209, 'loss_G': 1.7830846309661865, 'loss_G_GAN': 0.44221508502960205, 'loss_G_cycle': 1.340869426727295, 'loss_D': 0.2632780969142914}
{'loss_all': 1.9330283403396606, 'loss_G': 1.4800535440444946, 'loss_G_GAN': 0.2683563828468323, 'loss_G_cycle': 1.2116971015930176, 'loss_D': 0.45297491550445557}
{'loss_all': 3.045414924621582, 'loss_G': 2.711778163909912, 'loss_G_GAN': 1.261593222618103, 'loss_G_cycle': 1.4501848220825195, 'loss_D': 0.33363670110702515}
{'loss_all': 2.5315794944763184, 'loss_G': 2.239319086074829, 'loss_G_GAN': 0.9075406193733215, 'loss_G_cycle': 1.3317785263061523, 'loss_D': 0.2922603487968445}
{'loss_all': 2.4953367710113525, 'loss_G': 2.177309989929199, 'loss_G_GAN': 0.5011749863624573, 'loss_G_cycle': 1.6761350631713867, 'loss_D': 0.31802666187286377}
{'loss_all': 2.755046844482422, 'loss_G': 2.447232723236084, 'loss_G_GAN': 0.9421617388725281, 'loss_G_cycle': 1.5050710439682007, 'loss_D': 0.3078140616416931}
{'loss_all': 3.0172789096832275, 'loss_G': 2.5497899055480957, 'loss_G_GAN': 0.8518034219741821, 'loss_G_cycle': 1.6979866027832031, 'loss_D': 0.46748894453048706}
{'loss_all': 2.470722198486328, 'loss_G': 2.1827123165130615, 'loss_G_GAN': 0.7414565086364746, 'loss_G_cycle': 1.441255807876587, 'loss_D': 0.28800976276397705}
{'loss_all': 2.2008280754089355, 'loss_G': 1.7901283502578735, 'loss_G_GAN': 0.6427765488624573, 'loss_G_cycle': 1.1473517417907715, 'loss_D': 0.4106997549533844}
{'loss_all': 2.835148572921753, 'loss_G': 2.6793861389160156, 'loss_G_GAN': 1.2613487243652344, 'loss_G_cycle': 1.4180374145507812, 'loss_D': 0.15576240420341492}
{'loss_all': 2.4411909580230713, 'loss_G': 1.9925848245620728, 'loss_G_GAN': 0.8434901237487793, 'loss_G_cycle': 1.149094581604004, 'loss_D': 0.4486062228679657}
{'loss_all': 2.2331972122192383, 'loss_G': 1.7094089984893799, 'loss_G_GAN': 0.2689785361289978, 'loss_G_cycle': 1.4404304027557373, 'loss_D': 0.523788332939148}
{'loss_all': 3.0177180767059326, 'loss_G': 2.6062872409820557, 'loss_G_GAN': 1.2940762042999268, 'loss_G_cycle': 1.312211036682129, 'loss_D': 0.41143089532852173}
{'loss_all': 3.005606174468994, 'loss_G': 2.7053565979003906, 'loss_G_GAN': 1.4481608867645264, 'loss_G_cycle': 1.2571954727172852, 'loss_D': 0.30024999380111694}
{'loss_all': 2.6519951820373535, 'loss_G': 2.0243401527404785, 'loss_G_GAN': 0.7252405881881714, 'loss_G_cycle': 1.2990996837615967, 'loss_D': 0.6276549100875854}
{'loss_all': 3.2070319652557373, 'loss_G': 2.5412840843200684, 'loss_G_GAN': 0.7684409618377686, 'loss_G_cycle': 1.7728430032730103, 'loss_D': 0.6657477021217346}
{'loss_all': 2.6088552474975586, 'loss_G': 2.220297336578369, 'loss_G_GAN': 0.983515202999115, 'loss_G_cycle': 1.236782193183899, 'loss_D': 0.3885577619075775}
{'loss_all': 1.8627049922943115, 'loss_G': 1.4264580011367798, 'loss_G_GAN': 0.24195456504821777, 'loss_G_cycle': 1.184503436088562, 'loss_D': 0.43624696135520935}
{'loss_all': 2.0852866172790527, 'loss_G': 1.6792986392974854, 'loss_G_GAN': 0.5412218570709229, 'loss_G_cycle': 1.1380767822265625, 'loss_D': 0.40598809719085693}
{'loss_all': 2.9009523391723633, 'loss_G': 2.3435895442962646, 'loss_G_GAN': 1.0858898162841797, 'loss_G_cycle': 1.257699728012085, 'loss_D': 0.5573627352714539}
{'loss_all': 2.100100040435791, 'loss_G': 1.6693317890167236, 'loss_G_GAN': 0.4595267176628113, 'loss_G_cycle': 1.2098051309585571, 'loss_D': 0.43076828122138977}
{'loss_all': 2.103720188140869, 'loss_G': 1.8063373565673828, 'loss_G_GAN': 0.5880163908004761, 'loss_G_cycle': 1.2183210849761963, 'loss_D': 0.29738277196884155}
{'loss_all': 2.015915870666504, 'loss_G': 1.7155699729919434, 'loss_G_GAN': 0.7435139417648315, 'loss_G_cycle': 0.9720559120178223, 'loss_D': 0.30034613609313965}
{'loss_all': 2.139925003051758, 'loss_G': 1.8049604892730713, 'loss_G_GAN': 0.7494547963142395, 'loss_G_cycle': 1.055505633354187, 'loss_D': 0.3349645733833313}
{'loss_all': 2.214465856552124, 'loss_G': 1.803508996963501, 'loss_G_GAN': 0.6196609735488892, 'loss_G_cycle': 1.1838480234146118, 'loss_D': 0.4109566807746887}
{'loss_all': 2.7717111110687256, 'loss_G': 2.531466007232666, 'loss_G_GAN': 1.3735606670379639, 'loss_G_cycle': 1.1579052209854126, 'loss_D': 0.2402452826499939}
{'loss_all': 2.8126375675201416, 'loss_G': 2.559326648712158, 'loss_G_GAN': 1.037799596786499, 'loss_G_cycle': 1.5215270519256592, 'loss_D': 0.2533109784126282}
{'loss_all': 2.238064765930176, 'loss_G': 1.8284919261932373, 'loss_G_GAN': 0.41960591077804565, 'loss_G_cycle': 1.4088859558105469, 'loss_D': 0.4095730781555176}
{'loss_all': 2.0099053382873535, 'loss_G': 1.5359641313552856, 'loss_G_GAN': 0.340025395154953, 'loss_G_cycle': 1.1959387063980103, 'loss_D': 0.4739413857460022}
{'loss_all': 2.221498966217041, 'loss_G': 1.9087562561035156, 'loss_G_GAN': 0.7582054734230042, 'loss_G_cycle': 1.1505508422851562, 'loss_D': 0.31274276971817017}
{'loss_all': 2.115522623062134, 'loss_G': 1.9073207378387451, 'loss_G_GAN': 0.7997879981994629, 'loss_G_cycle': 1.1075326204299927, 'loss_D': 0.20820224285125732}
{'loss_all': 2.283048152923584, 'loss_G': 1.7895342111587524, 'loss_G_GAN': 0.34679514169692993, 'loss_G_cycle': 1.4427390098571777, 'loss_D': 0.49351415038108826}
{'loss_all': 2.566107749938965, 'loss_G': 2.0390419960021973, 'loss_G_GAN': 0.6363306045532227, 'loss_G_cycle': 1.4027113914489746, 'loss_D': 0.5270658731460571}
{'loss_all': 3.1460390090942383, 'loss_G': 2.72483491897583, 'loss_G_GAN': 1.2512240409851074, 'loss_G_cycle': 1.473610758781433, 'loss_D': 0.4212043881416321}
{'loss_all': 2.1696248054504395, 'loss_G': 1.8415789604187012, 'loss_G_GAN': 0.6592192649841309, 'loss_G_cycle': 1.1823596954345703, 'loss_D': 0.3280459940433502}
{'loss_all': 1.8707174062728882, 'loss_G': 1.4473637342453003, 'loss_G_GAN': 0.393083393573761, 'loss_G_cycle': 1.0542802810668945, 'loss_D': 0.4233538508415222}
{'loss_all': 2.23533296585083, 'loss_G': 2.027519464492798, 'loss_G_GAN': 1.150052547454834, 'loss_G_cycle': 0.8774668574333191, 'loss_D': 0.2078137993812561}
{'loss_all': 1.9511574506759644, 'loss_G': 1.6165257692337036, 'loss_G_GAN': 0.6886115074157715, 'loss_G_cycle': 0.9279142022132874, 'loss_D': 0.3346317410469055}
{'loss_all': 1.9391367435455322, 'loss_G': 1.5809886455535889, 'loss_G_GAN': 0.5600577592849731, 'loss_G_cycle': 1.0209308862686157, 'loss_D': 0.3581480383872986}
{'loss_all': 2.234848737716675, 'loss_G': 2.07114839553833, 'loss_G_GAN': 1.0330877304077148, 'loss_G_cycle': 1.0380606651306152, 'loss_D': 0.1637004017829895}
{'loss_all': 2.545532464981079, 'loss_G': 2.3068814277648926, 'loss_G_GAN': 0.9333488345146179, 'loss_G_cycle': 1.3735326528549194, 'loss_D': 0.23865103721618652}
{'loss_all': 2.3487730026245117, 'loss_G': 1.8794889450073242, 'loss_G_GAN': 0.3822481334209442, 'loss_G_cycle': 1.4972407817840576, 'loss_D': 0.46928414702415466}
{'loss_all': 2.394047260284424, 'loss_G': 1.9264135360717773, 'loss_G_GAN': 0.5813800692558289, 'loss_G_cycle': 1.3450334072113037, 'loss_D': 0.4676337242126465}
{'loss_all': 2.260941982269287, 'loss_G': 1.8412330150604248, 'loss_G_GAN': 0.6413238048553467, 'loss_G_cycle': 1.1999090909957886, 'loss_D': 0.4197092056274414}
{'loss_all': 2.9680349826812744, 'loss_G': 2.6448593139648438, 'loss_G_GAN': 1.6724865436553955, 'loss_G_cycle': 0.9723727107048035, 'loss_D': 0.32317572832107544}
{'loss_all': 2.163024425506592, 'loss_G': 1.8316280841827393, 'loss_G_GAN': 0.8885730504989624, 'loss_G_cycle': 0.9430551528930664, 'loss_D': 0.33139610290527344}
{'loss_all': 2.170199394226074, 'loss_G': 1.9026598930358887, 'loss_G_GAN': 0.9983282089233398, 'loss_G_cycle': 0.904331624507904, 'loss_D': 0.2675395607948303}
{'loss_all': 2.096593141555786, 'loss_G': 1.7916061878204346, 'loss_G_GAN': 0.7819356918334961, 'loss_G_cycle': 1.009670615196228, 'loss_D': 0.3049868941307068}
{'loss_all': 2.0919437408447266, 'loss_G': 1.5855531692504883, 'loss_G_GAN': 0.7079689502716064, 'loss_G_cycle': 0.8775840997695923, 'loss_D': 0.5063906311988831}
{'loss_all': 2.770219564437866, 'loss_G': 2.234053611755371, 'loss_G_GAN': 1.04667067527771, 'loss_G_cycle': 1.1873828172683716, 'loss_D': 0.536166250705719}
{'loss_all': 2.0453975200653076, 'loss_G': 1.395665168762207, 'loss_G_GAN': 0.36304357647895813, 'loss_G_cycle': 1.0326215028762817, 'loss_D': 0.6497324705123901}
{'loss_all': 2.148463249206543, 'loss_G': 1.6188328266143799, 'loss_G_GAN': 0.7534180283546448, 'loss_G_cycle': 0.8654148578643799, 'loss_D': 0.5296304225921631}
{'loss_all': 2.75869083404541, 'loss_G': 2.5034849643707275, 'loss_G_GAN': 1.4802535772323608, 'loss_G_cycle': 1.0232312679290771, 'loss_D': 0.25520598888397217}
{'loss_all': 2.2683544158935547, 'loss_G': 1.935218095779419, 'loss_G_GAN': 0.8350815176963806, 'loss_G_cycle': 1.1001365184783936, 'loss_D': 0.33313649892807007}
{'loss_all': 2.108915328979492, 'loss_G': 1.714770793914795, 'loss_G_GAN': 0.3408950865268707, 'loss_G_cycle': 1.3738757371902466, 'loss_D': 0.39414435625076294}
{'loss_all': 2.666731595993042, 'loss_G': 2.2555623054504395, 'loss_G_GAN': 0.7226670384407043, 'loss_G_cycle': 1.5328950881958008, 'loss_D': 0.41116952896118164}
{'loss_all': 2.224557638168335, 'loss_G': 1.7870688438415527, 'loss_G_GAN': 0.7610396146774292, 'loss_G_cycle': 1.0260292291641235, 'loss_D': 0.437488853931427}
{'loss_all': 2.04355788230896, 'loss_G': 1.6839897632598877, 'loss_G_GAN': 0.6713317632675171, 'loss_G_cycle': 1.012657880783081, 'loss_D': 0.3595682680606842}
{'loss_all': 2.5800225734710693, 'loss_G': 2.145608425140381, 'loss_G_GAN': 0.8948054909706116, 'loss_G_cycle': 1.2508031129837036, 'loss_D': 0.4344137907028198}
{'loss_all': 2.1504483222961426, 'loss_G': 1.7722513675689697, 'loss_G_GAN': 1.0406676530838013, 'loss_G_cycle': 0.7315836548805237, 'loss_D': 0.3781971335411072}
{'loss_all': 2.1595325469970703, 'loss_G': 1.7452443838119507, 'loss_G_GAN': 0.5492750406265259, 'loss_G_cycle': 1.1959693431854248, 'loss_D': 0.4142882227897644}
{'loss_all': 2.695835590362549, 'loss_G': 2.066056728363037, 'loss_G_GAN': 0.7895208597183228, 'loss_G_cycle': 1.2765358686447144, 'loss_D': 0.6297788023948669}
{'loss_all': 2.5742244720458984, 'loss_G': 2.228797674179077, 'loss_G_GAN': 1.0490024089813232, 'loss_G_cycle': 1.179795265197754, 'loss_D': 0.3454267978668213}
{'loss_all': 2.2206711769104004, 'loss_G': 2.0622401237487793, 'loss_G_GAN': 1.0366963148117065, 'loss_G_cycle': 1.0255436897277832, 'loss_D': 0.1584310382604599}
{'loss_all': 2.1649036407470703, 'loss_G': 1.7735493183135986, 'loss_G_GAN': 0.7376759648323059, 'loss_G_cycle': 1.0358734130859375, 'loss_D': 0.3913539946079254}
{'loss_all': 2.2092552185058594, 'loss_G': 1.9420357942581177, 'loss_G_GAN': 0.9904334545135498, 'loss_G_cycle': 0.9516023397445679, 'loss_D': 0.26721927523612976}
{'loss_all': 2.3066277503967285, 'loss_G': 1.985263466835022, 'loss_G_GAN': 0.9631913900375366, 'loss_G_cycle': 1.0220720767974854, 'loss_D': 0.32136428356170654}
{'loss_all': 2.2071051597595215, 'loss_G': 1.9297525882720947, 'loss_G_GAN': 0.9239055514335632, 'loss_G_cycle': 1.0058470964431763, 'loss_D': 0.27735260128974915}
{'loss_all': 2.6965606212615967, 'loss_G': 2.3031325340270996, 'loss_G_GAN': 1.038909912109375, 'loss_G_cycle': 1.264222502708435, 'loss_D': 0.3934284448623657}
{'loss_all': 2.140425443649292, 'loss_G': 1.7878388166427612, 'loss_G_GAN': 0.7617524862289429, 'loss_G_cycle': 1.0260863304138184, 'loss_D': 0.3525864779949188}
